county,per_capita_income,population_density,pop_without_a2i,urban_pop_density,rural_pop_density,gt_50_internet,median_dl_speed,median_ul_speed,upper_quartile_dl,upper_quartile_ul,lower_quartile_dl,lower_quartile_ul,party_won
arkansas_grant_county,22065.0,29.11,20.0,1344.02,21.878,1,1.2718450000000001,0.46860999999999997,2.180175,0.66211,0.9282100000000001,0.24738,0.7527352297592997
arkansas_greene_county,20188.0,77.296,30.0,1339.08,32.403,1,4.623234,1.7672940000000001,5.3835440000000006,3.0401680000000004,4.47482,1.7058579999999999,0.7417833864928581
arkansas_hempstead_county,17866.0,29.139,36.0,1295.31,16.083,1,1.7927274999999998,0.9490975,2.365725,1.2434075,1.2934575,0.731935,0.6287227949599083
arkansas_hot_spring_county,19819.0,54.408,50.0,1195.63,36.438,1,1.8050199999999998,0.6734975,2.4558275,0.75202,0.9946474999999999,0.5362175,0.6900550148116801
arkansas_howard_county,20341.0,20.917,85.0,1244.42,13.874,1,2.19645,0.62012,4.765625,3.09375,1.0249000000000001,0.430175,0.6808372895986189
arkansas_independence_county,20222.0,48.643,44.0,1266.63,33.79,1,1.7868633333333335,0.38903,4.3030333333333335,0.6480733333333334,0.40999,0.28257,0.7383024622480101
arkansas_izard_county,18650.0,21.537,100.0,0.0,21.537,1,2.5986333333333334,0.3883466666666667,2.6057966666666665,0.39241666666666664,2.4479166666666665,0.38737,0.7490733876945885
arkansas_jackson_county,15860.0,26.103,29.0,1264.37,17.186,1,5.811140000000001,1.0751799999999998,9.998266666666668,1.6338866666666665,4.72586,0.75997,0.6404869428627528
arkansas_jefferson_county,19847.0,83.392,29.0,1360.94,26.406,1,4.540823333333334,3.557306666666667,5.1800299999999995,3.6686216666666667,3.812556666666666,3.424258333333334,0.35942062843125805
arkansas_johnson_county,18993.0,40.218,49.0,1181.9,28.447,1,8.313714000000001,7.093483999999998,10.882776,9.80614,6.1709119999999995,4.42168,0.6748916305435145
arkansas_lafayette_county,17707.0,12.176,100.0,0.0,12.176,1,1.3715849999999998,0.43872,1.3979499999999998,0.46484499999999995,1.1806649999999999,0.373045,0.6172839506172839
arkansas_lawrence_county,17064.0,27.45,56.0,1632.64,17.266,1,7.208895,1.1542999999999999,9.62546,1.297975,4.43091,0.60121,0.7219754841001954
arkansas_lee_county,13297.0,14.955,52.0,1572.59,9.416,1,1.312255,0.2229,1.31836,0.23047,0.13066999999999998,0.04517,0.409121171770972
arkansas_lincoln_county,14501.0,24.108,100.0,0.0,24.108,1,1.34456,0.2549,1.50747,0.25879,1.18164,0.251,0.6436811746198217
arkansas_little_river_county,20073.0,22.523,100.0,1086.18,15.327,1,1.5632366666666666,1.0939499999999998,2.6297233333333336,1.2482833333333334,0.92867,0.9863799999999999,0.6941448382126348
arkansas_logan_county,20114.0,30.303,100.0,1321.1,21.843,1,2.179403333333333,0.46985666666666664,2.7711566666666667,0.5540366666666666,1.62012,0.36491,0.7318535527490752
arkansas_lonoke_county,23339.0,100.43,24.0,1479.12,45.545,1,3.7421124999999997,2.5121824999999998,5.3562475,2.7140975000000003,2.6826625,2.3813975000000003,0.7435552566689083
